no_of_rainy_days,total_rainfall,maximum_rainfall_in_a_day,mean_rh,mean_sunshine_hrs,asian_civilisations_museum,national_museum_of_singapore,science_centre_singapore,jurong_birdpark,night_safari,river_wonders,singapore_zoological_gardens,sun_yat_sen_nanyang_memorial_hall,indian_heritage_centre
10,107.1,36.5,81.2,5.6,0,0,0,0,0,0,0,0,0
5,27.8,9.4,79.5,7.6,0,0,0,0,0,0,0,0,0
11,160.8,61.7,82.3,5.1,0,0,0,0,0,0,0,0,0
14,157.0,45.1,85.9,4.7,0,0,0,0,0,0,0,0,0
10,102.2,33.0,83.2,5.8,0,0,0,0,0,0,0,0,0
8,59.5,20.6,80.3,7.3,0,0,0,0,0,0,0,0,0
8,76.3,17.2,77.6,7.6,0,0,0,0,0,0,0,0,0
11,169.5,57.7,80.4,5.4,0,0,0,0,0,0,0,0,0
9,54.1,18.0,80.6,5.2,0,0,0,0,0,0,0,0,0
10,39.3,10.0,81.5,5.6,0,0,0,0,0,0,0,0,0
13,134.0,39.6,83.4,5.8,0,0,0,0,0,0,0,0,0
21,494.1,109.0,87.7,3.3,0,0,0,0,0,0,0,0,0
18,246.0,43.2,85.6,4.3,0,0,0,0,0,0,0,0,0
2,5.6,5.1,78.0,9.3,0,0,0,0,0,0,0,0,0
2,18.6,18.3,76.0,8.9,0,0,0,0,0,0,0,0,0
4,33.6,21.3,77.2,6.6,0,0,0,0,0,0,0,0,0
11,160.8,32.3,83.2,5.9,0,0,0,0,0,0,0,0,0
11,94.0,27.7,82.4,5.9,0,0,0,0,0,0,0,0,0
18,190.0,55.5,83.7,5.4,0,0,0,0,0,0,0,0,0
10,262.2,181.8,81.2,6.3,0,0,0,0,0,0,0,0,0
18,170.8,50.3,84.4,3.8,0,0,0,0,0,0,0,0,0
17,212.7,40.0,82.5,5.2,0,0,0,0,0,0,0,0,0
18,228.8,54.8,85.2,3.2,0,0,0,0,0,0,0,0,0
16,370.6,164.4,88.0,2.7,0,0,0,0,0,0,0,0,0
18,251.2,62.3,85.8,4.1,0,0,0,0,0,0,0,0,0
19,470.4,154.4,86.0,4.1,0,0,0,0,0,0,0,0,0
19,361.3,119.4,85.4,5.3,0,0,0,0,0,0,0,0,0
17,153.1,38.7,83.8,6.2,0,0,0,0,0,0,0,0,0
12,186.5,46.0,84.1,6.4,0,0,0,0,0,0,0,0,0
14,255.0,121.1,83.1,5.4,0,0,0,0,0,0,0,0,0
12,127.2,49.2,83.7,5.7,0,0,0,0,0,0,0,0,0
13,102.7,22.5,84.1,6.0,0,0,0,0,0,0,0,0,0
17,186.7,46.5,83.9,4.9,0,0,0,0,0,0,0,0,0
11,187.5,47.2,82.5,5.3,0,0,0,0,0,0,0,0,0
17,127.7,35.4,86.3,4.3,0,0,0,0,0,0,0,0,0
22,277.4,58.4,86.7,3.3,0,0,0,0,0,0,0,0,0
7,111.1,35.5,81.5,8.7,0,0,0,0,0,0,0,0,0
11,79.3,18.7,84.0,6.5,0,0,0,0,0,0,0,0,0
13,88.0,23.8,83.9,5.6,0,0,0,0,0,0,0,0,0
14,110.5,29.3,83.8,5.5,0,0,0,0,0,0,0,0,0
12,70.1,36.2,83.4,5.7,0,0,0,0,0,0,0,0,0
14,37.0,9.9,79.4,5.8,0,0,0,0,0,0,0,0,0
17,131.8,32.2,83.1,5.3,0,0,0,0,0,0,0,0,0
11,56.9,21.4,80.4,6.2,0,0,0,0,0,0,0,0,0
18,110.7,22.0,83.1,5.0,0,0,0,0,0,0,0,0,0
21,169.0,30.2,84.7,4.1,0,0,0,0,0,0,0,0,0
21,179.4,38.2,85.0,4.1,0,0,0,0,0,0,0,0,0
22,340.1,86.8,86.2,4.6,0,0,0,0,0,0,0,0,0
13,308.2,95.6,83.9,3.9,0,0,0,0,0,0,0,0,0
2,26.7,23.0,78.4,7.2,0,0,0,0,0,0,0,0,0
17,353.4,71.1,86.6,4.6,0,0,0,0,0,0,0,0,0
14,150.0,56.4,85.3,6.2,0,0,0,0,0,0,0,0,0
13,145.1,51.3,81.8,6.1,0,0,0,0,0,0,0,0,0
13,122.9,34.5,82.5,6.8,0,0,0,0,0,0,0,0,0
12,109.7,23.5,79.9,6.2,0,0,0,0,0,0,0,0,0
11,72.9,28.4,77.3,5.6,0,0,0,0,0,0,0,0,0
22,396.0,97.6,84.4,4.8,0,0,0,0,0,0,0,0,0
20,227.3,65.6,85.0,5.0,0,0,0,0,0,0,0,0,0
21,256.7,40.5,84.1,4.5,0,0,0,0,0,0,0,0,0
16,367.2,131.7,85.2,5.4,0,0,0,0,0,0,0,0,0
16,568.6,127.4,86.0,4.0,0,0,0,0,0,0,0,0,0
7,86.9,34.8,79.0,9.2,0,0,0,0,0,0,0,0,0
12,132.5,40.9,83.2,6.9,0,0,0,0,0,0,0,0,0
10,72.5,27.7,82.8,6.2,0,0,0,0,0,0,0,0,0
16,270.0,81.4,84.6,5.6,0,0,0,0,0,0,0,0,0
15,126.6,30.7,80.7,6.8,0,0,0,0,0,0,0,0,0
11,80.9,21.6,81.3,6.7,0,0,0,0,0,0,0,0,0
16,191.9,48.2,83.6,5.1,0,0,0,0,0,0,0,0,0
11,129.9,44.5,82.5,5.4,0,0,0,0,0,0,0,0,0
9,22.6,5.9,82.1,5.8,0,0,0,0,0,0,0,0,0
17,347.6,77.7,84.0,4.5,0,0,0,0,0,0,0,0,0
11,72.8,24.3,84.6,4.8,0,0,0,0,0,0,0,0,0
15,237.5,69.0,84.3,5.9,0,0,0,0,0,0,0,0,0
9,158.1,46.7,83.2,6.7,0,0,0,0,0,0,0,0,0
15,186.8,70.1,85.3,5.2,0,0,0,0,0,0,0,0,0
13,109.6,22.8,84.5,5.4,0,0,0,0,0,0,0,0,0
14,229.6,76.7,82.7,5.6,0,0,0,0,0,0,0,0,0
13,252.2,69.4,81.6,6.5,0,0,0,0,0,0,0,0,0
15,305.4,75.6,84.0,6.0,0,0,0,0,0,0,0,0,0
14,80.1,19.0,84.9,4.9,0,0,0,0,0,0,0,0,0
14,440.4,187.3,84.5,4.8,0,0,0,0,0,0,0,0,0
17,134.6,39.8,83.2,4.1,0,0,0,0,0,0,0,0,0
23,401.4,111.9,86.8,3.7,0,0,0,0,0,0,0,0,0
