Data Series,Asian Civilisations Museum (Thousand),National Museum Of Singapore (Thousand),Science Centre Singapore (Thousand),Jurong Birdpark (Thousand),Night Safari (Thousand),River Wonders (Thousand),Singapore Zoological Gardens (Thousand),Sun Yat Sen Nanyang Memorial Hall (Thousand),Indian Heritage Centre (Thousand)
  2022 Dec,27,73,50,109,71,80,131,3,6
  2022 Nov,33,73,30,44,45,57,88,3,10
  2022 Oct,39,82,34,28,57,60,111,4,33
  2022 Sep,32,63,35,24,52,61,94,12,12
  2022 Aug,32,100,26,18,53,64,89,6,9
  2022 Jul,32,84,33,23,59,66,101,3,11
  2022 Jun,30,85,64,29,55,77,106,3,7
  2022 May,24,52,39,20,40,68,93,4,9
  2022 Apr,19,37,29,18,30,53,66,2,5
  2022 Mar,17,44,33,18,30,63,85,2,4
  2022 Feb,14,36,17,13,19,48,66,5,3
  2022 Jan,19,32,22,15,24,57,73,3,7
  2021 Dec,20,56,63,38,48,97,148,9,3
  2021 Nov,15,30,25,15,19,47,71,8,3
  2021 Oct,14,25,14,12,19,41,65,6,5
  2021 Sep,18,26,23,17,22,50,91,31,3
  2021 Aug,16,27,12,13,16,38,68,7,2
  2021 Jul,16,25,16,13,19,36,77,8,3
  2021 Jun,11,21,14,17,22,43,65,8,2
  2021 May,15,22,8,12,16,31,45,6,3
  2021 Apr,21,27,16,19,28,48,64,8,9
  2021 Mar,23,32,21,27,46,77,115,10,9
  2021 Feb,18,22,10,19,22,42,67,20,4
  2021 Jan,19,23,15,90,22,41,55,13,8
  2020 Dec,23,84,57,40,64,120,169,9,3
  2020 Nov,18,84,21,24,25,61,88,6,3
  2020 Oct,14,29,12,27,29,62,100,13,3
  2020 Sep,12,20,19,23,21,65,92,10,2
  2020 Aug,13,32,11,24,22,39,78,7,2
  2020 Jul,10,29,6,18,2,32,68,5,2
  2020 Jun,0,0,0,0,0,0,0,0,0
  2020 May,0,0,0,0,0,0,0,0,0
  2020 Apr,0,0,2,1,1,2,4,0,0
  2020 Mar,15,32,19,13,24,30,64,6,6
  2020 Feb,29,42,32,17,43,24,50,23,7
  2020 Jan,46,73,65,58,112,75,171,29,26
  2019 Dec,44,66,68,64,106,94,192,12,14
  2019 Nov,51,64,60,52,81,66,132,21,23
  2019 Oct,56,82,77,60,99,82,164,14,34
  2019 Sep,64,69,96,148,83,64,146,28,14
  2019 Aug,64,187,125,69,158,108,250,26,17
  2019 Jul,65,134,129,61,141,90,217,14,19
  2019 Jun,58,116,108,73,116,86,182,23,19
  2019 May,47,67,74,70,111,75,145,12,15
  2019 Apr,49,72,63,65,102,74,155,13,18
  2019 Mar,66,86,89,57,96,71,150,13,23
  2019 Feb,55,83,67,56,113,81,184,26,14
  2019 Jan,52,75,71,57,111,71,149,17,27
  2018 Dec,41,69,71,72,110,99,223,8,12
  2018 Nov,44,68,63,59,87,66,145,18,24
  2018 Oct,50,80,68,60,96,75,158,15,31
  2018 Sep,37,69,70,49,87,74,160,36,20
  2018 Aug,42,132,97,70,156,105,246,13,17
  2018 Jul,47,87,98,69,141,94,248,11,22
  2018 Jun,44,83,78,72,114,83,168,21,16
  2018 May,49,80,69,83,112,77,150,14,14
  2018 Apr,46,67,49,66,98,71,153,16,17
  2018 Mar,46,80,66,65,110,75,159,17,16
  2018 Feb,37,75,78,62,114,72,163,33,12
  2018 Jan,42,70,58,63,104,68,138,13,21
  2017 Dec,34,67,82,79,114,102,195,8,14
  2017 Nov,33,61,56,57,75,60,116,14,10
